read_name,true_start,aligned_start,abs_pos_error,mapq,error_rate,is_coding,region,tool
read_0_start31365178_len10000,31365178,31365185,7,60,0.05,False,noncoding,ngmlr
read_3_start42267684_len10000,42267684,42267685,1,60,0.052,False,noncoding,ngmlr
read_4_start34134458_len10000,34134458,34134465,7,60,0.0512,False,noncoding,ngmlr
read_5_start32554133_len10000,32554133,32554134,1,60,0.0535,False,noncoding,ngmlr
read_6_start44559084_len10000,44559084,44559089,5,59,0.051,False,noncoding,ngmlr
read_8_start33336219_len10000,33336219,33336227,8,60,0.0492,False,noncoding,ngmlr
read_9_start45755909_len10000,45755909,45755910,1,60,0.0503,False,noncoding,ngmlr
read_10_start20206901_len10000,20206901,20206902,1,60,0.0504,False,noncoding,ngmlr
read_11_start40440899_len10000,40440899,40440900,1,60,0.0499,False,noncoding,ngmlr
read_13_start46250010_len10000,46250010,46250017,7,60,0.0488,False,noncoding,ngmlr
read_14_start30274749_len10000,30274749,30274753,4,60,0.0479,False,noncoding,ngmlr
read_15_start32264825_len10000,32264825,32264833,8,60,0.0491,False,noncoding,ngmlr
read_16_start14436532_len10000,14436532,14436533,1,7,0.0518,False,noncoding,ngmlr
read_17_start29125821_len10000,29125821,29125825,4,59,0.0496,False,noncoding,ngmlr
read_18_start50440097_len10000,50440097,50440099,2,60,0.05,False,noncoding,ngmlr
read_20_start35042797_len10000,35042797,35042801,4,60,0.0519,False,noncoding,ngmlr
read_25_start20546808_len10000,20546808,20546817,9,60,0.05,False,noncoding,ngmlr
read_26_start35092619_len10000,35092619,35092625,6,60,0.0486,False,noncoding,ngmlr
read_28_start35280264_len10000,35280264,35280273,9,60,0.0492,False,noncoding,ngmlr
read_29_start20500601_len10000,20500601,20500610,9,58,0.0491,False,noncoding,ngmlr
read_32_start50237271_len10000,50237271,50237272,1,60,0.054,False,noncoding,ngmlr
read_33_start39096432_len10000,39096432,39096436,4,60,0.0528,False,noncoding,ngmlr
read_34_start36317462_len10000,36317462,36317463,1,60,0.0485,False,noncoding,ngmlr
read_35_start42959597_len10000,42959597,42959601,4,60,0.0495,False,noncoding,ngmlr
read_36_start17002459_len10000,17002459,17002465,6,60,0.054,False,noncoding,ngmlr
read_37_start32547879_len10000,32547879,32547883,4,60,0.0501,False,noncoding,ngmlr
read_38_start13854584_len10000,13854584,13854596,12,5,0.0513,False,noncoding,ngmlr
read_40_start31116317_len10000,31116317,31116324,7,60,0.0495,False,noncoding,ngmlr
read_41_start30312958_len10000,30312958,30312961,3,60,0.0501,False,noncoding,ngmlr
read_43_start24579368_len10000,24579368,24579377,9,60,0.0506,False,noncoding,ngmlr
read_46_start23419654_len10000,23419654,23419655,1,60,0.0519,False,noncoding,ngmlr
read_47_start39377912_len10000,39377912,39377921,9,60,0.0486,False,noncoding,ngmlr
read_49_start33471878_len10000,33471878,33471887,9,60,0.0499,False,noncoding,ngmlr
read_50_start41750827_len10000,41750827,41750833,6,60,0.0499,False,noncoding,ngmlr
read_51_start13054673_len10000,13054673,13054674,1,15,0.0544,False,noncoding,ngmlr
read_53_start47545716_len10000,47545716,47545719,3,60,0.0481,False,noncoding,ngmlr
read_55_start50662087_len10000,50662087,50662091,4,60,0.0534,False,noncoding,ngmlr
read_56_start11867497_len10000,11867497,11867505,8,60,0.0504,False,noncoding,ngmlr
read_57_start41287523_len10000,41287523,41287524,1,55,0.0494,False,noncoding,ngmlr
read_58_start32797134_len10000,32797134,32797139,5,60,0.0469,False,noncoding,ngmlr
read_59_start24583400_len10000,24583400,24583412,12,60,0.0503,False,noncoding,ngmlr
read_63_start20240562_len10000,20240562,20240563,1,60,0.0477,False,noncoding,ngmlr
read_65_start19808253_len10000,19808253,19808259,6,60,0.0501,False,noncoding,ngmlr
read_66_start30683232_len10000,30683232,30683233,1,60,0.0452,False,noncoding,ngmlr
read_67_start36920193_len10000,36920193,36920194,1,60,0.0471,False,noncoding,ngmlr
read_68_start14810659_len10000,14810659,14810663,4,4,0.0469,False,noncoding,ngmlr
read_70_start28726731_len10000,28726731,28726737,6,60,0.0488,False,noncoding,ngmlr
read_71_start21191502_len10000,21191502,21191506,4,5,0.0488,False,noncoding,ngmlr
read_72_start42888189_len10000,42888189,42888193,4,60,0.0479,False,noncoding,ngmlr
read_73_start36906348_len10000,36906348,36906353,5,60,0.0504,False,noncoding,ngmlr
read_74_start16304545_len10000,16304545,16304546,1,60,0.0376,False,noncoding,ngmlr
read_75_start17591457_len10000,17591457,17591458,1,60,0.0442,False,noncoding,ngmlr
read_76_start14318932_len10000,14318932,14318933,1,13,0.0534,False,noncoding,ngmlr
read_77_start48326076_len10000,48326076,48326081,5,60,0.0473,False,noncoding,ngmlr
read_78_start45322251_len10000,45322251,45322260,9,58,0.0512,False,noncoding,ngmlr
read_80_start41924490_len10000,41924490,41924497,7,60,0.0509,False,noncoding,ngmlr
read_81_start24145404_len10000,24145404,24145409,5,60,0.0514,False,noncoding,ngmlr
read_82_start44441369_len10000,44441369,44441377,8,60,0.0503,False,noncoding,ngmlr
read_83_start10744988_len10000,10744988,10744993,5,60,0.0493,False,noncoding,ngmlr
read_85_start48203541_len10000,48203541,48203542,1,60,0.0503,False,noncoding,ngmlr
read_86_start50034989_len10000,50034989,50034993,4,60,0.0529,False,noncoding,ngmlr
read_87_start21728104_len10000,21728104,21728113,9,60,0.0463,False,noncoding,ngmlr
read_88_start44213072_len10000,44213072,44213073,1,60,0.0511,False,noncoding,ngmlr
read_89_start46487379_len10000,46487379,46487386,7,60,0.0515,False,noncoding,ngmlr
read_90_start25536455_len10000,25536455,25536462,7,60,0.0531,False,noncoding,ngmlr
read_92_start25598587_len10000,25598587,25598593,6,51,0.0482,False,noncoding,ngmlr
read_93_start49268115_len10000,49268115,49268119,4,60,0.0479,False,noncoding,ngmlr
read_94_start49772943_len10000,49772943,49772945,2,58,0.0507,False,noncoding,ngmlr
read_96_start32960981_len10000,32960981,32960982,1,60,0.0504,False,noncoding,ngmlr
read_97_start21846721_len10000,21846721,21846722,1,60,0.047,False,noncoding,ngmlr
read_98_start45202543_len10000,45202543,45202545,2,60,0.0537,False,noncoding,ngmlr
read_100_start28936834_len10000,28936834,28936835,1,60,0.0488,False,noncoding,ngmlr
read_101_start38224103_len10000,38224103,38224104,1,57,0.0519,False,noncoding,ngmlr
read_102_start30776274_len10000,30776274,30776275,1,60,0.0503,False,noncoding,ngmlr
read_103_start28103339_len10000,28103339,28103345,6,60,0.0463,False,noncoding,ngmlr
read_104_start34098718_len10000,34098718,34098721,3,60,0.0492,False,noncoding,ngmlr
read_105_start38712097_len10000,38712097,38712098,1,60,0.0503,False,noncoding,ngmlr
read_107_start48823788_len10000,48823788,48823797,9,60,0.0509,False,noncoding,ngmlr
read_108_start30898080_len10000,30898080,30898081,1,60,0.0526,False,noncoding,ngmlr
read_109_start27177005_len10000,27177005,27177009,4,60,0.051,False,noncoding,ngmlr
read_110_start32980448_len10000,32980448,32980449,1,60,0.0499,False,noncoding,ngmlr
read_111_start43133939_len10000,43133939,43133942,3,60,0.0525,False,noncoding,ngmlr
